id_tempat_wisata;Nama_Tempat_Wisata;jenis_wisata;Deskripsi ;url_gambar
1;Museum Majapahit;Budaya;Museum yang menampilkan artefak peninggalan kerajaan Majapahit, termasuk keramik, patung, dan manuskrip kuno. Lokasi yang ideal untuk mengenal sejarah Indonesia.;https://assets.kompasiana.com/items/album/2021/10/10/20211009-214342-6161dc5324da9214963a13a4.jpg?t=o&v=770
2;Gunung Penanggungan;Alam;Gunung dengan ketinggian sedang yang sering dikunjungi pendaki pemula. Dikenal dengan pemandangan indah dan situs candi di lerengnya.;https://1.bp.blogspot.com/-3FdnQK0rxdo/VO7k2-_ZGaI/AAAAAAAAALw/LaQNQDmkz_Y/s1600/1079875_20121117125831.jpg
3;Candi Wringinlawang;Budaya; Gapura candi yang merupakan salah satu peninggalan Kerajaan Majapahit, menawarkan arsitektur megah dan sejarah yang menarik.;https://th.bing.com/th/id/OIP.l_1oo0M101PSHZQZv32cDgHaE8?rs=1&pid=ImgDetMain
4;Candi Brahu & Gentong;Budaya;Kompleks candi kuno dengan desain arsitektur khas Majapahit. Lokasi ini sering digunakan untuk ritual keagamaan.;https://ik.imagekit.io/waxmxe1fg/wp-content/uploads/2023/08/Candi-Brahu-Mojokerto.jpg
5;Candi Jolotundo;Budaya;Situs candi yang juga merupakan pemandian air suci. Tempat ini dianggap keramat dan memiliki suasana yang menenangkan.;https://cdn.idntimes.com/content-images/community/2022/01/20220101-180258-329ae2b286ff7799fbbec7d4597d307a-3ad8688f39b601a0f7924f6445184eb5.jpg
6;Sunrise Mall;Hiburan;Pusat perbelanjaan modern di Mojokerto dengan berbagai toko, bioskop, dan area makan yang cocok untuk rekreasi keluarga.;https://th.bing.com/th/id/OIP.t-ftL4Ps7H-f7KZwDis76AAAAA?rs=1&pid=ImgDetMain
7;Patung Budha Tidur;Budaya;Patung Buddha berukuran besar dalam posisi tidur. Tempat ini sering dikunjungi untuk meditasi dan foto.;https://www.beritainspiratif.com/assets/uploads/2020/02/wgcujcgtuo3qbynxvfb4.jpg
8;Maha Vihara Mojopahit;Budaya;Kompleks vihara besar yang mencakup Patung Buddha Tidur. Cocok untuk wisata spiritual dan edukasi.;https://media.istockphoto.com/id/1436554638/photo/maha-vihara-mojopahit-in-trowulan-mojokerto-east-java-indonesia.jpg?s=170667a&w=0&k=20&c=F0YSYcwFjzbytuwBVbpWZO1WTL9K0uFGfhMZ1V6VdgQ=
9;Candi Tikus;Budaya;Candi kuno yang ditemukan terkubur, memiliki struktur unik dan dipercaya sebagai tempat pemandian raja Majapahit.;https://idsejarah.net/wp-content/uploads/2016/10/CandiTikus1.jpg
10;Candi Bajangratu;Budaya;Pintu gerbang kerajaan Majapahit yang besar dan indah. Tempat ini menawarkan wawasan sejarah yang mendalam.;https://th.bing.com/th/id/OIP.QFXCZlYMbfcZlj0XCU2DCAHaE8?w=269&h=180&c=7&r=0&o=5&pid=1.7
11;Pemandian Air Panas Padusan;Alam;Pemandian alami dengan sumber air panas, cocok untuk relaksasi dan menyegarkan tubuh.;https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/82/2023/09/08/6-wana-wisata-air-panas-413322871.jpg
12;Coban Watu Ondo;Alam;Air terjun bertingkat dengan pemandangan menakjubkan dan udara segar, ideal untuk wisata alam.;https://jadwaltravel.com/wp-content/uploads/2019/11/Coban-Watu-Ondo-Kota-Batu.jpg
13;Air Terjun Watu Lumpang;Alam;Air terjun dengan debit air yang deras, dikelilingi oleh hutan yang rimbun dan pemandangan yang asri.;https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/850/2024/02/28/Air-Terjun-Watu-Lumpang-pacet-mojokerto-2418834619.jpeg
14;Situs Makam Troloyo;Budaya;Kompleks makam kuno yang terkait dengan sejarah Kerajaan Majapahit dan Islam di Jawa.;https://th.bing.com/th/id/R.830fd538dfb7768189d3f4c7d2d2b1c6?rik=O9Nvx3pIjSCieg&riu=http%3a%2f%2fidsejarah.net%2fwp-content%2fuploads%2f2017%2f04%2ftroloyodoa.jpg&ehk=n%2fIywCE0VOk7kU2IHwNGDR40bDwPccoWNuo9F4R3vZE%3d&risl=&pid=ImgRaw&r=0
